FloatID,Station,longitude_degrees_east,latitude_degrees_north,Pressure_dbar,Temperature_Celcius,salinity_pss,Sigma_theta_kg_m_pow_minus_3,depth_m,oxygen_mu_molkg_pow_minus_1,oxygen_QF,oxygen saturation_QF,nitrate_mu_mol_kg_pow_minus_1,nitrate_QF,chl_a_mg_m_pow_minus_3,chl_a_QF,b_bp700_m_pow_minus_1,b_bp700_QF,POC_milli_mol_m_pow_minus_3,POC_QF,pH_insitu_total,pH_insitu_QF,pH_25C_total,pH_25C_QF,TALK_micro_mol_kg_pow_minus_1,TALK_QF,DIC_micro_mol_kg_pow_minus_1,DIC_QF,pCO2_micro_atm,pCO2_QF,CDOM_ppb,CDOM_QF
1902303.0,1.0,345.264,49.233,1747.9,3.9961,34.929,27.745,1725.812,272.86,8.0,8.0,17.33,0.0,0.0047,0.0,0.00019,0.0,0.75,0.0,7.991,0.0,7.7439,4.0,2306.0,4.0,2153.0,4.0,368.1,4.0,2.21,1.0
1902303.0,1.0,345.264,49.233,1699.2,4.0308,34.927,27.74,1677.92,271.79,0.0,0.0,17.36,0.0,0.0047,0.0,0.000204,0.0,0.78,0.0,7.983,0.0,7.7351,0.0,2305.0,0.0,2155.0,0.0,377.7,0.0,2.2,1.0
1902303.0,1.0,345.264,49.233,1648.2,4.0946,34.927,27.732,1627.755,271.05,0.0,0.0,17.37,0.0,0.0028,0.0,0.000212,0.0,0.8,0.0,7.9801,0.0,7.7315,0.0,2305.0,0.0,2157.0,0.0,382.9,0.0,2.18,1.0
1902303.0,1.0,345.264,49.233,1599.0,4.1846,34.934,27.728,1579.348,269.12,0.0,0.0,17.39,0.0,0.0037,0.0,0.000257,0.0,0.92,0.0,7.9777,0.0,7.7287,0.0,2305.0,0.0,2158.0,0.0,387.7,0.0,2.22,1.0
1902303.0,1.0,345.264,49.233,1549.5,4.3897,34.957,27.724,1530.636,265.25,0.0,0.0,17.4,0.0,0.0066,0.0,0.000207,0.0,0.79,0.0,7.9751,0.0,7.7274,0.0,2307.0,0.0,2160.0,0.0,393.2,0.0,2.2,1.0
1902303.0,1.0,345.264,49.233,1498.9,4.5128,34.967,27.719,1480.829,261.59,0.0,0.0,17.71,0.0,0.0037,0.0,0.000186,0.0,0.74,0.0,7.9733,0.0,7.7256,0.0,2308.0,0.0,2162.0,0.0,397.8,0.0,2.2,1.0
1902303.0,1.0,345.264,49.233,1449.4,4.6573,34.984,27.716,1432.093,258.5,0.0,0.0,17.78,0.0,0.0047,0.0,0.000218,0.0,0.82,0.0,7.9723,0.0,7.725,0.0,2310.0,0.0,2164.0,0.0,401.7,0.0,2.2,1.0
1902303.0,1.0,345.264,49.233,1399.3,4.9798,35.023,27.71,1382.755,252.56,0.0,0.0,17.78,0.0,0.0056,0.0,0.000187,0.0,0.74,0.0,7.969,0.0,7.7247,0.0,2312.0,0.0,2167.0,0.0,408.4,0.0,2.2,1.0
1902303.0,1.0,345.264,49.233,1349.1,5.3096,35.067,27.706,1333.308,245.86,0.0,0.0,17.72,0.0,0.0047,0.0,0.00023,0.0,0.85,0.0,7.9684,0.0,7.727,0.0,2314.0,0.0,2167.0,0.0,412.4,0.0,2.19,1.0
1902303.0,1.0,345.264,49.233,1299.7,5.7697,35.129,27.699,1284.636,237.93,0.0,0.0,18.04,0.0,0.0056,0.0,0.00022,0.0,0.83,0.0,7.9659,0.0,7.7295,0.0,2319.0,0.0,2170.0,0.0,419.0,0.0,2.2,1.0
1902303.0,1.0,345.264,49.233,1249.3,6.2538,35.193,27.688,1234.968,230.08,0.0,0.0,18.16,0.0,0.0075,0.0,0.000218,0.0,0.82,0.0,7.964,0.0,7.7329,0.0,2323.0,0.0,2172.0,0.0,425.0,0.0,2.18,1.0
1902303.0,1.0,345.264,49.233,1199.0,6.8083,35.269,27.674,1185.387,221.57,0.0,0.0,17.94,0.0,0.0047,0.0,0.000216,0.0,0.82,0.0,7.9616,0.0,7.7368,0.0,2328.0,0.0,2175.0,0.0,431.9,0.0,2.19,1.0
1902303.0,1.0,345.264,49.233,1149.3,7.4967,35.363,27.651,1136.385,212.01,0.0,0.0,17.98,0.0,0.0056,0.0,0.00022,0.0,0.82,0.0,7.9592,0.0,7.7427,0.0,2334.0,0.0,2178.0,0.0,439.3,0.0,2.16,1.0
1902303.0,1.0,345.264,49.233,1099.8,7.6852,35.35,27.613,1087.57,207.04,0.0,0.0,18.22,0.0,0.0028,0.0,0.000196,0.0,0.76,0.0,7.9575,0.0,7.7419,0.0,2333.0,0.0,2178.0,0.0,444.0,0.0,2.18,1.0
1902303.0,1.0,345.264,49.233,1049.1,8.0408,35.365,27.572,1037.559,202.19,0.0,0.0,18.21,0.0,0.0056,0.0,0.000194,0.0,0.76,0.0,7.9532,0.0,7.7412,0.0,2335.0,0.0,2179.0,0.0,452.3,0.0,2.16,1.0
1902303.0,1.0,345.264,49.233,999.6,8.3142,35.376,27.538,988.72,198.5,0.0,0.0,18.3,0.0,0.0084,0.0,0.00025,0.0,0.9,0.0,7.9516,0.0,7.7418,0.0,2334.0,0.0,2179.0,0.0,457.2,0.0,2.16,1.0
1902303.0,1.0,345.264,49.233,928.0,8.993,35.435,27.477,918.056,193.84,0.0,0.0,17.7,0.0,0.0056,0.0,0.000329,0.0,1.11,0.0,7.9467,0.0,7.7444,0.0,2337.0,0.0,2180.0,0.0,468.4,0.0,2.14,1.0
1902303.0,1.0,345.264,49.233,890.0,9.143,35.416,27.438,880.543,194.11,0.0,0.0,17.58,0.0,0.0075,0.0,0.000233,0.0,0.86,0.0,7.9457,0.0,7.7443,0.0,2335.0,0.0,2178.0,0.0,471.6,0.0,2.11,1.0
1902303.0,1.0,345.264,49.233,830.0,9.338,35.38,27.377,821.299,195.63,0.0,0.0,17.35,0.0,0.0028,0.0,0.000345,0.0,1.15,0.0,7.9472,0.0,7.7464,0.0,2331.0,0.0,2174.0,0.0,472.5,0.0,2.11,1.0
1902303.0,1.0,345.264,49.233,800.0,9.556,35.38,27.34,791.67,197.52,0.0,0.0,17.17,0.0,0.0056,0.0,0.00022,0.0,0.83,0.0,7.9488,0.0,7.75,0.0,2330.0,0.0,2171.0,0.0,472.3,0.0,2.09,1.0
1902303.0,1.0,345.264,49.233,748.0,9.734,35.365,27.298,740.304,203.37,0.0,0.0,16.44,0.0,0.0047,0.0,0.000199,0.0,0.77,0.0,7.9543,0.0,7.756,0.0,2329.0,0.0,2167.0,0.0,468.3,0.0,2.06,1.0
1902303.0,1.0,345.264,49.233,692.0,10.092,35.379,27.247,684.972,221.56,0.0,0.0,14.49,0.0,0.0037,0.0,0.000213,0.0,0.81,0.0,7.9731,0.0,7.7772,0.0,2328.0,0.0,2157.0,0.0,449.1,0.0,1.96,1.0
1902303.0,1.0,345.264,49.233,632.0,10.355,35.39,27.209,625.671,239.7,0.0,0.0,12.68,0.0,0.0037,0.0,0.000216,0.0,0.82,0.0,7.9899,0.0,7.7951,0.0,2326.0,0.0,2148.0,0.0,432.7,0.0,1.87,1.0
1902303.0,1.0,345.264,49.233,600.0,10.45,35.396,27.196,594.037,240.88,0.0,0.0,12.55,0.0,0.0028,0.0,0.000214,0.0,0.81,0.0,7.9932,0.0,7.7984,0.0,2325.0,0.0,2145.0,0.0,430.5,0.0,1.86,1.0
1902303.0,1.0,345.264,49.233,538.0,10.723,35.423,27.168,532.733,245.27,0.0,0.0,11.53,0.0,0.0019,0.0,0.000267,0.0,0.95,0.0,8.0044,0.0,7.8111,0.0,2309.0,0.0,2125.0,0.0,418.2,0.0,1.8,1.0
