Sigma_theta_kg_m_pow_minus_3,predict
27.741,27.863736726020775
26.913,26.802058997434102
27.415,27.534097135787494
26.745,26.656792656358657
26.071,26.085465268223434
27.082,27.03889546755235
27.738,27.8206654367887
26.471,26.406490731896156
25.485,25.487408050624758
26.957,26.855243170237703
27.632,27.690012029540558
27.131,27.151393484904073
25.558,25.598363327669624
27.083,27.07935104344195
26.385,26.24278151039488
27.168,27.04895453558311
26.231,26.173064478903548
27.802,27.89814360252034
25.646,25.5911250855726
26.286,26.183861783828327
25.981,25.908874926943145
27.661,27.735621265987742
25.532,25.701363022390137
25.26,25.289256481816835
24.991,25.28441612189097
26.952,26.792100789179116
25.717,25.977086355986014
27.387,27.382324115411507
27.425,27.49870157989743
27.047,27.01768310011087
27.767,27.86404854375117
27.162,27.20015350565729
26.488,26.39130707549048
24.947,25.151966941842034
27.751,27.875361103368007
25.104,25.201108128045732
27.76,27.88108982091843
27.308,27.262269084323737
27.122,27.1197067153351
25.614,25.64549612150903
27.633,27.688054444884887
25.812,25.78862256936206
27.11,27.041297022438286
27.668,27.64117602362643
27.161,27.081909676987834
26.088,26.09162939557663
27.573,27.65511669198226
25.233,25.321128350414774
27.545,27.674346264984848
27.653,27.75818868832696
27.665,27.762653636414793
27.645,27.703140123344966
27.705,27.763330199195487
27.452,27.507309822206576
27.626,27.713647134773513
27.774,27.86188156498997
27.215,27.236018418724747
27.226,27.19275843938591
27.797,27.804247477630895
26.766,26.8390765684932
27.164,27.220755517093597
26.99,26.958248937726847
26.15,25.94549290473843
25.032,25.126910461257285
26.858,26.758715186541572
27.018,27.001161984345583
27.787,27.88860403995347
26.415,26.338153464093754
27.065,27.075129408699055
27.493,27.63479676497612
27.023,26.97084321737867
25.795,25.92752814119938
26.939,26.778522116393916
27.177,27.281435927838164
27.716,27.789633507500987
27.435,27.390113994450388
27.083,26.935454299147032
26.169,26.132507685576833
27.626,27.711965375275167
27.042,26.9931034655114
27.185,27.141441094326417
24.672,24.967071445760716
25.605,25.677974691854217
27.72,27.80405276114307
27.199,27.129766263792288
27.21,27.2055705005577
26.011,26.064356095441674
25.69,25.767723508515328
27.762,27.838768436470748
24.922,25.08591908011031
26.174,26.078539256223728
27.757,27.773760224118096
27.135,27.19758546438347
25.98,26.008960824635565
27.175,27.103911808967283
25.722,25.775467579343758
27.008,26.87750259078243
26.921,26.772685535383616
26.887,26.88542437551696
26.8,26.79946948370742
27.562,27.698195092138246
26.128,26.158102440636668
27.203,27.307020244928044
26.442,26.325639284916246
24.588,24.92891772998392
27.752,27.921034758802215
27.109,27.105673163327545
27.178,27.226378865171014
27.102,27.09255695246233
27.0,26.86941902237335
26.029,25.93942878161481
26.415,26.35459885154065
27.443,27.551782306079375
27.144,27.078641238805222
27.569,27.605582494120775
27.027,26.91341811278095
27.02,27.01252629397146
27.108,27.115574061094076
27.752,27.85993192500983
26.956,26.966050717001757
27.083,27.051366245713336
27.078,26.92991378471322
27.697,27.797456072283374
27.818,27.874833197403245
27.81,27.91991688412056
27.775,27.971230783675146
26.963,26.858580092745754
27.761,27.7441357193776
27.196,27.25783423588588
27.716,27.80663226524147
27.093,27.058669650787838
27.768,27.883062388530007
27.137,27.076094699481438
26.894,26.742318492797782
26.094,26.12600979166189
25.858,25.754333609333493
27.618,27.62739688039515
25.403,25.52312401525794
27.803,27.81629395683677
27.776,27.863195370638312
25.508,25.553794769918518
27.764,27.82891409696192
27.75,27.873960231444702
25.623,25.619347660798528
26.381,26.288636962201835
26.918,26.83838376226223
26.079,26.11379936138032
25.396,25.59126293191456
24.905,25.103158086687447
27.741,27.90221285716278
25.306,25.42314418832533
27.107,27.00319091982877
27.549,27.594255309918882
25.667,25.707393701938454
25.656,25.76052097588939
27.124,27.071295461479746
24.566,24.956820341727042
25.649,25.65705726227706
25.304,25.51887159424929
26.583,26.672228764715413
27.142,27.07263815168312
27.766,27.855730266214564
26.289,26.382504177447235
27.729,27.95364190804119
26.53,26.610048165686557
26.559,26.685531916494934
26.263,26.354933617004452
